Name,Rank,,,,
Princeton University,1,,,,
Harvard University,2,,,,
University of Chicago,3,,,,
Yale University,3,,,,
Columbia University,5,,,,
Stanford University,5,,,,
Massachusetts Institute of Technology,7,,,,
Duke University,8,,,,
University of Pennsylvania,8,,,,
Johns Hopkins University,10,,,,
Dartmouth College,11,,,,
California Institute of Technology,12,,,,
Northwestern University,12,,,,
Brown University,14,,,,
Cornell University,15,,,,
Rice University,15,,,,
University of Notre Dame,15,,,,
Vanderbilt University,15,,,,
Washington University in St. Louis,19,,,,
Emory University,20,,,,
Georgetown University,20,,,,
University of California--Berkeley,20,,,,
University of Southern California,23,,,,
Carnegie Mellon University,24,,,,
University of California--Los Angeles,24,,,,
University of Virginia,24,,,,
Tufts University,27,,,,
University of Michigan--Ann Arbor,27,,,,
Wake Forest University,27,,,,
University of North Carolina--Chapel Hill,30,,,,
Boston College,31,,,,
College of William & Mary,32,,,,
University of Rochester,32,,,,
Brandeis University,34,,,,
Georgia Institute of Technology,34,,,,
New York University,36,,,,
Case Western Reserve University,37,,,,
University of California--Santa Barbara,37,,,,
Boston University,39,,,,
Northeastern University,39,,,,
Rensselaer Polytechnic Institute,39,,,,
Tulane University,39,,,,
University of California--Irvine,39,,,,
Lehigh University,44,,,,
University of California--Davis,44,,,,
University of California--San Diego,44,,,,
University of Illinois--Urbana-Champaign,44,,,,
University of Miami,44,,,,
University of Wisconsin--Madison,44,,,,
Pepperdine University,50,,,,
University of Florida,50,,,,
Villanova University,50,,,,
Pennsylvania State University--University Park,50,,,,
Ohio State University--Columbus,54,,,,
University of Washington,54,,,,
George Washington University,56,,,,
Southern Methodist University,56,,,,
University of Georgia,56,,,,
University of Texas--Austin,56,,,,
Fordham University,60,,,,
Purdue University--West Lafayette,60,,,,
Syracuse University,60,,,,
University of Connecticut,60,,,,
University of Maryland--College Park,60,,,,
Worcester Polytechnic Institute,60,,,,
Clemson University,66,,,,
Yeshiva University,66,,,,
Brigham Young University--Provo,68,,,,
University of Pittsburgh,68,,,,
Rutgers University--New Brunswick,70,,,,
Baylor University,71,,,,
Stevens Institute of Technology,71,,,,
University of Minnesota--Twin Cities,71,,,,
American University,74,,,,
Clark University,74,,,,
Texas A&M University--College Station,74,,,,
University of Massachusetts--Amherst,74,,,,
Virginia Tech,74,,,,
Miami University--Oxford,79,,,,
University of California--Santa Cruz,79,,,,
University of Delaware,79,,,,
Colorado School of Mines,82,,,,
Michigan State University,82,,,,
Texas Christian University,82,,,,
University of Iowa,82,,,,
Binghamton University--SUNY,86,,,,
Indiana University--Bloomington,86,,,,
Marquette University,86,,,,
University of Denver,86,,,,
University of San Diego,86,,,,
University of Tulsa,86,,,,
Florida State University,92,,,,
North Carolina State University--Raleigh,92,,,,
University of Colorado--Boulder,92,,,,
University of Vermont,92,,,,
Drexel University,96,,,,
Saint Louis University,96,,,,
Stony Brook University--SUNY,96,,,,
